title,max_players,genres,publisher,review_score,sales,price,console,age_rating,year,average_length
X-Men: The Official Game,1,Action,Activision,52,0.14,14.95,X360,M,2006,11.8833333333333
OutRun 2006: Coast 2 Coast,1,Racing / Driving,Sega,82,0.03,17.95,Sony PSP,E,2006,5.18333333333333
Contact,1,"Adventure,Role-Playing (RPG)",,73,0.07,14.95,Nintendo DS,E,2006,15.6
NCAA Football 08,2,Sports,EA,77,0.36,9.95,PlayStation 3,T,2007,12
Avalon Code,1,"Action,Adventure,Role-Playing (RPG)",,71,0.1,27.95,Nintendo DS,M,2008,31.5
LittleBigPlanet,4,Action,Sony,95,2.46,24.95,PlayStation 3,T,2008,13.7
The Incredible Hulk,1,Action,Sega,55,0.22,17.95,X360,E,2008,5.21666666666667
Spider-Man 3,1,Action,Activision,60,0.27,17.95,PlayStation 3,E,2007,10.8333333333333
Kirby Super Star Ultra,1,Action,Nintendo,76,1.6,24.95,Nintendo DS,M,2008,8.76666666666667
WWE Smackdown vs. Raw 2008,4,Sports,THQ,71,0.96,12.95,X360,T,2007,25.3166666666667
Worms: Open Warfare 2,1,"Action,Strategy",THQ,81,0.07,17.95,Nintendo DS,E,2007,9.11666666666667
Super Paper Mario,1,"Action,Role-Playing (RPG)",Nintendo,85,1.5,29.95,Nintendo Wii,E,2007,22.8
Capcom Classics Collection Remixed,1,Action,Capcom,72,0.28,17.95,Sony PSP,E,2005,35.6666666666667
Thrillville: Off the Rails,4,"Simulation,Strategy",,70,0.37,16.95,Nintendo Wii,E,2007,12.15
Sonic Rush,1,Action,Sega,82,1.2,14.95,Nintendo DS,E,2005,7.91666666666667
Rock Band 2,4,"Action,Simulation",,92,1.85,19.95,X360,E,2008,62.55
The Elder Scrolls IV: Oblivion,1,"Action,Role-Playing (RPG)",Ubisoft,93,1.2,17.95,PlayStation 3,T,2007,101.083333333333
Tiger Woods PGA Tour 07,4,Sports,EA,81,0.32,14.95,PlayStation 3,E,2006,10
Earth Defense Force 2017,2,Action,,69,0.03,17.95,X360,T,2006,22.4666666666667
Spider-Man 3,1,Action,Ubisoft,58,0.01,6.95,Sony PSP,M,2006,10.8333333333333
Surf's Up,1,"Racing / Driving,Sports",Ubisoft,56,0.28,14.95,Nintendo DS,T,2007,1.28333333333333
Tom Clancy's Splinter Cell: Double Agent,2,Action,Ubisoft,61,0.11,17.95,Nintendo Wii,T,2006,12.4166666666667
